EcoTypeID,VegID,treeSpecfrac,EcoTypeDescription,Domain,,,,
2203,Morus alba,0.013029316,,SCAQMD,,,,
2203,Olea europaea,0.003257329,,SCAQMD,,,,
2203,Parkinsonia aculeata,0.001085776,,SCAQMD,,,,
2203,Parkinsonia florida,0.000542888,,SCAQMD,,,,
2203,Parkinsonia x 'Desert Museum',0.001085776,,SCAQMD,,,,
2203,Persea americana,0.001085776,,SCAQMD,,,,
2203,Phoenix canariensis,0.003257329,,SCAQMD,,,,
2203,Phoenix dactylifera,0.000542888,,SCAQMD,,,,
2203,Phoenix roebelenii,0.010857763,,SCAQMD,,,,
2203,Pinus brutia var. eldarica,0.007057546,,SCAQMD,,,,
2203,Pinus canariensis,0.024972856,,SCAQMD,,,,
2203,Pinus halepensis,0.008686211,,SCAQMD,,,,
2203,Pinus pinea,0.010314875,,SCAQMD,,,,
2203,Pinus radiata,0.000542888,,SCAQMD,,,,
2203,Pinus thunbergiana,0.003800217,,SCAQMD,,,,
2203,Pistacia chinensis,0.01194354,,SCAQMD,,,,
2203,Platanus acerifolia,0.059717698,,SCAQMD,,,,
2203,Platanus racemosa,0.000542888,,SCAQMD,,,,
2203,Podocarpus macrophyllus,0.000542888,,SCAQMD,,,,
2203,Populus deltoides,0.000542888,,SCAQMD,,,,
2203,Prosopis alba,0.000542888,,SCAQMD,,,,
2203,Prunus armeniaca,0.000542888,,SCAQMD,,,,
2203,Prunus cerasifera,0.013029316,,SCAQMD,,,,
2203,Prunus persica,0.003257329,,SCAQMD,,,,
2203,Psidium cattleianum,0.000542888,,SCAQMD,,,,
2203,Pyrus calleryana,0.001085776,,SCAQMD,,,,
2203,Pyrus kawakamii,0.005428882,,SCAQMD,,,,
2203,Robinia pseudoacacia,0.001628664,,SCAQMD,,,,
2203,Salix babylonica,0.000542888,,SCAQMD,,,,
2203,Schinus molle,0.000542888,,SCAQMD,,,,
2203,Schinus terebinthifolius,0.014115092,,SCAQMD,,,,
2203,Syagrus romanzoffianum,0.07111835,,SCAQMD,,,,
2203,Syzygium australe,0.001085776,,SCAQMD,,,,
2203,Tipuana tipu,0.007057546,,SCAQMD,,,,
2203,Trachycarpus fortunei,0.004343105,,SCAQMD,,,,
2203,Triadica sebifera,0.000542888,,SCAQMD,,,,
2203,Ulmus parvifolia,0.004343105,,SCAQMD,,,,
2203,Ulmus pumila,0.000542888,,SCAQMD,,,,
2203,Umbellularia californica,0.000542888,,SCAQMD,,,,
2203,Washingtonia filifera,0.016286645,,SCAQMD,,,,
2203,Washingtonia robusta,0.042888165,,SCAQMD,,,,
2203,Yucca gloriosa,0.001085776,,SCAQMD,,,,
2203,Zelkova serrata,0.004343105,,SCAQMD,,,,
2205,Albizia julibrissin,0.085173502,,SCAQMD,,,,
2205,Calocedrus decurrens,0.022082019,,SCAQMD,,,,
2205,Cercis canadensis,0.022082019,,SCAQMD,,,,
2205,Cinnamomum camphora,0.025236593,,SCAQMD,,,,
2205,Fraxinus latifolia,0.044164038,,SCAQMD,,,,
2205,Gleditsia triacanthos,0.107255521,,SCAQMD,,,,
2205,Koelreuteria bipinnata,0.034700315,,SCAQMD,,,,
